iter	Passed	Remaining
0	0	97
1	1	90
2	2	87
3	3	82
4	4	79
5	5	78
6	5	78
7	6	79
8	7	78
9	8	77
10	9	77
11	10	76
12	11	76
13	12	75
14	12	73
15	13	72
16	14	71
17	15	70
18	16	69
19	16	67
20	17	66
21	18	66
22	19	65
23	20	64
24	21	63
25	22	63
26	22	62
27	23	60
28	24	60
29	25	59
30	26	59
31	27	58
32	28	57
33	29	56
34	30	56
35	30	54
36	31	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	37	46
45	38	45
46	39	44
47	40	43
48	41	42
49	41	41
50	42	41
51	43	40
52	44	39
53	45	38
54	46	37
55	46	36
56	47	35
57	48	35
58	49	34
59	49	33
60	50	32
61	51	31
62	52	30
63	53	29
64	53	29
65	54	28
66	55	27
67	56	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	61	20
75	62	19
76	63	19
77	64	18
78	65	17
79	65	16
80	66	15
81	67	14
82	68	14
83	69	13
84	70	12
85	70	11
86	71	10
87	72	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	77	4
94	78	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
